time,BE100,BE211,BE332,EL30X,EL522,EL612
2023-03-06,170.0,195.0,153.0,597.0,232.0,47.0
2023-03-13,164.0,196.0,126.0,516.0,238.0,54.0
2023-03-20,151.0,194.0,158.0,593.0,216.0,50.0
2023-03-27,178.0,206.0,142.0,561.0,202.0,63.0
2023-04-03,166.0,170.0,142.0,541.0,236.0,56.0
2023-04-10,170.0,174.0,129.0,551.0,202.0,71.0
2023-04-17,158.0,162.0,121.0,566.0,185.0,66.0
2023-04-24,167.0,158.0,107.0,575.0,190.0,52.0
2023-05-01,149.0,172.0,126.0,567.0,197.0,79.0
2023-05-08,174.0,181.0,98.0,536.0,188.0,61.0
2023-05-15,158.0,161.0,133.0,595.0,160.0,52.0
2023-05-22,134.0,166.0,121.0,522.0,198.0,47.0
2023-05-29,150.0,180.0,109.0,562.0,189.0,57.0
2023-06-05,164.0,211.0,130.0,545.0,234.0,50.0
2023-06-12,179.0,200.0,120.0,503.0,200.0,64.0
2023-06-19,120.0,182.0,106.0,537.0,212.0,71.0
2023-06-26,162.0,184.0,103.0,538.0,194.0,65.0
2023-07-03,151.0,167.0,106.0,592.0,203.0,42.0
2023-07-10,150.0,159.0,119.0,568.0,224.0,71.0
2023-07-17,142.0,154.0,109.0,754.0,256.0,75.0
2023-07-24,138.0,145.0,105.0,760.0,217.0,66.0
